R1.38	   R1.64
532.0 	1596.55595 
533.0 	1596.22087 
534.0 	1595.88580 
535.0 	1595.55073 
536.0 	1595.21566 
537.0 	1594.88058 
538.0 	1594.54551 
539.0 	1594.21044 
540.0 	1593.87536 
541.0 	1593.54029 
542.0 	1593.20522 
543.0 	1592.87014 
544.0 	1592.53507 
545.0 	1592.20000 
546.0 	1591.86492 
547.0 	1591.52985 
548.0 	1591.19478 
549.0 	1590.85970 
550.0 	1590.52463 
