T11.0   	  R1.64
2650.0 	1836.42168 
2651.0 	1833.26788 
2652.0 	1830.11408 
2653.0 	1826.96028 
2654.0 	1823.80648 
2655.0 	1820.65268 
2656.0 	1817.49888 
2657.0 	1814.34508 
2658.0 	1811.19128 
2659.0 	1808.03748 
2660.0 	1804.09227 
2661.0 	1799.63026 
2662.0 	1795.16824 
2663.0 	1790.70623 
2664.0 	1786.24421 
2665.0 	1781.78220 
2666.0 	1777.32018 
2667.0 	1772.85817 
2668.0 	1768.39615 
2669.0 	1763.93413 
2670.0 	1759.47212 
2671.0 	1755.01010 
2672.0 	1750.54809 
2673.0 	1746.08607 
2674.0 	1741.62406 
2675.0 	1737.16204 
2676.0 	1732.70002 
2677.0 	1728.23801 
2678.0 	1723.77599 
2679.0 	1719.31398 
2680.0 	1714.85196 
2681.0 	1710.38995 
2682.0 	1705.92793 
2683.0 	1701.46592 
2684.0 	1697.00390 
2685.0 	1692.54188 
2686.0 	1686.14062 
2687.0 	1679.49219 
2688.0 	1672.84376 
2689.0 	1666.19533 
2690.0 	1659.54690 
2691.0 	1652.89847 
2692.0 	1646.25004 
2693.0 	1639.60161 
2694.0 	1632.95318 
2695.0 	1626.30476 
2696.0 	1619.65633 
2697.0 	1613.00790 
2698.0 	1606.35947 
2699.0 	1599.71104 
2700.0 	1593.06261 
2701.0 	1586.41418 
2702.0 	1579.76575 
2703.0 	1573.11732 
2704.0 	1566.46889 
2705.0 	1559.82046 
2706.0 	1553.17203 
2707.0 	1546.52360 
2708.0 	1539.87517 
2709.0 	1533.22674 
2710.0 	1526.40028 
2711.0 	1519.51689 
2712.0 	1512.63351 
2713.0 	1505.75012 
2714.0 	1498.86673 
2715.0 	1491.98334 
2716.0 	1485.09996 
2717.0 	1478.21657 
2718.0 	1471.33318 
2719.0 	1464.44980 
2720.0 	1457.56641 
2721.0 	1450.68302 
2722.0 	1443.79963 
2723.0 	1436.91625 
2724.0 	1430.03286 
2725.0 	1423.14947 
2726.0 	1416.26608 
2727.0 	1409.38270 
2728.0 	1402.49931 
2729.0 	1395.61592 
2730.0 	1388.73253 
2731.0 	1381.84915 
2732.0 	1372.57251 
2733.0 	1362.74545 
2734.0 	1352.91839 
2735.0 	1343.09133 
2736.0 	1333.26428 
2737.0 	1323.43722 
2738.0 	1313.61016 
2739.0 	1303.78310 
2740.0 	1293.95604 
2741.0 	1284.12899 
2742.0 	1274.30193 
2743.0 	1264.47487 
2744.0 	1254.64781 
2745.0 	1244.82075 
2746.0 	1234.99369 
2747.0 	1225.16664 
2748.0 	1215.33958 
2749.0 	1204.03146 
2750.0 	1191.43756 
2751.0 	1178.84366 
2752.0 	1166.24976 
2753.0 	1153.65586 
2754.0 	1141.06196 
2755.0 	1128.46806 
2756.0 	1115.87416 
2757.0 	1103.28026 
2758.0 	1090.68636 
2759.0 	1078.09246 
2760.0 	1065.49856 
2761.0 	1052.90466 
2762.0 	1040.31076 
2763.0 	1027.71686 
2764.0 	1015.12296 
2765.0 	1002.52906 
2766.0 	989.93516 
2767.0 	977.34126 
2768.0 	964.74736 
2769.0 	951.99444 
2770.0 	937.41398 
2771.0 	922.83351 
2772.0 	908.25304 
2773.0 	893.67258 
2774.0 	879.09211 
2775.0 	864.51165 
2776.0 	849.93118 
2777.0 	835.35072 
2778.0 	820.77025 
2779.0 	806.18978 
2780.0 	791.60932 
2781.0 	777.02885 
2782.0 	762.44839 
2783.0 	747.86792 
2784.0 	733.28745 
2785.0 	718.70699 
2786.0 	704.12652 
2787.0 	689.54606 
2788.0 	674.96559 
2789.0 	660.38512 
2790.0 	645.80466 
2791.0 	631.22419 
2792.0 	616.64373 
2793.0 	602.06326 
2794.0 	587.48280 
2795.0 	572.90233 
2796.0 	558.32186 
2797.0 	543.74140 
2798.0 	529.16093 
2799.0 	514.58047 
2800.0 	500.00000 
